"No.","Time","Source","Destination","Protocol","Length","Info","Interface id"
"70","0.045572428","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 71)","s13-eth4"
"71","0.048173249","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 70)","s13-eth4"
"72","0.045492157","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 73)","s1-eth2"
"73","0.054207596","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 72)","s1-eth2"
"74","0.087845833","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (no response found!)","s1-eth2"
"75","0.045585022","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 76)","s113-eth4"
"76","0.048154714","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 75)","s113-eth4"
"77","0.109526102","10.0.0.1","10.0.0.8","ICMP","98","Echo (ping) request  id=0x6499, seq=1/256, ttl=64 (reply in 78)","s114-eth3"
"78","0.114421468","10.0.0.8","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6499, seq=1/256, ttl=64 (request in 77)","s114-eth3"
"79","0.088037422","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (reply in 80)","s114-eth1"
"80","0.088103146","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64 (request in 79)","s114-eth1"
"81","0.126049855","10.0.0.1","10.0.0.9","ICMP","98","Echo (ping) request  id=0x649a, seq=1/256, ttl=64 (reply in 82)","s115-eth4"
"82","0.131288014","10.0.0.9","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649a, seq=1/256, ttl=64 (request in 81)","s115-eth4"
"83","0.087961460","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (reply in 84)","s114-eth4"
"84","0.092752008","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64 (request in 83)","s114-eth4"
"85","0.147443004","10.0.0.1","10.0.0.10","ICMP","98","Echo (ping) request  id=0x649b, seq=1/256, ttl=64 (reply in 86)","s115-eth2"
"86","0.147506112","10.0.0.10","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649b, seq=1/256, ttl=64 (request in 85)","s115-eth2"
"87","0.147382430","10.0.0.1","10.0.0.10","ICMP","98","Echo (ping) request  id=0x649b, seq=1/256, ttl=64 (reply in 96)","s115-eth3"
"88","0.065190810","10.0.0.1","10.0.0.6","ICMP","98","Echo (ping) request  id=0x6497, seq=1/256, ttl=64 (reply in 89)","s113-eth3"
"89","0.070185683","10.0.0.6","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6497, seq=1/256, ttl=64 (request in 88)","s113-eth3"
"90","0.109660735","10.0.0.1","10.0.0.8","ICMP","98","Echo (ping) request  id=0x6499, seq=1/256, ttl=64 (reply in 91)","s114-eth2"
"91","0.109700539","10.0.0.8","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6499, seq=1/256, ttl=64 (request in 90)","s114-eth2"
"92","0.126106731","10.0.0.1","10.0.0.9","ICMP","98","Echo (ping) request  id=0x649a, seq=1/256, ttl=64 (reply in 93)","s115-eth1"
"93","0.126158619","10.0.0.9","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649a, seq=1/256, ttl=64 (request in 92)","s115-eth1"
"94","0.004525190","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x6494, seq=1/256, ttl=64 (reply in 95)","s112-eth4"
"95","0.009980408","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6494, seq=1/256, ttl=64 (request in 94)","s112-eth4"
"96","0.155157210","10.0.0.10","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649b, seq=1/256, ttl=64 (request in 87)","s115-eth3"
"97","0.264965323","10.0.0.1","10.0.0.14","ICMP","98","Echo (ping) request  id=0x64b3, seq=1/256, ttl=64 (no response found!)","s18-eth1"
"98","0.027965819","10.0.0.1","10.0.0.4","ICMP","98","Echo (ping) request  id=0x6495, seq=1/256, ttl=64 (reply in 99)","s112-eth3"
"99","0.030568784","10.0.0.4","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6495, seq=1/256, ttl=64 (request in 98)","s112-eth3"
"100","0.041364966","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 101)","s11-eth4"
"101","0.054413223","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 100)","s11-eth4"
"102","0.087133382","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (reply in 103)","s11-eth4"
"103","0.100640032","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64 (request in 102)","s11-eth4"
"104","0.122296136","10.0.0.1","10.0.0.9","ICMP","98","Echo (ping) request  id=0x649a, seq=1/256, ttl=64 (reply in 105)","s11-eth4"
"105","0.138374881","10.0.0.9","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649a, seq=1/256, ttl=64 (request in 104)","s11-eth4"
"106","0.178963527","10.0.0.1","10.0.0.11","ICMP","98","Echo (ping) request  id=0x649c, seq=1/256, ttl=64 (reply in 107)","s11-eth4"
"107","0.203582964","10.0.0.11","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649c, seq=1/256, ttl=64 (request in 106)","s11-eth4"
"108","0.237806761","10.0.0.1","10.0.0.13","ICMP","98","Echo (ping) request  id=0x64b2, seq=1/256, ttl=64 (reply in 109)","s11-eth4"
"109","0.253412157","10.0.0.13","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x64b2, seq=1/256, ttl=64 (request in 108)","s11-eth4"
"110","0.100522872","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64","s11-eth2"
"111","0.203528842","10.0.0.11","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649c, seq=1/256, ttl=64","s11-eth2"
"112","0.045654593","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 113)","s113-eth1"
"113","0.045701281","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 112)","s113-eth1"
"114","0.065009810","10.0.0.1","10.0.0.6","ICMP","98","Echo (ping) request  id=0x6497, seq=1/256, ttl=64 (reply in 115)","s3-eth1"
"115","0.076338694","10.0.0.6","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6497, seq=1/256, ttl=64 (request in 114)","s3-eth1"
"116","0.109324302","10.0.0.1","10.0.0.8","ICMP","98","Echo (ping) request  id=0x6499, seq=1/256, ttl=64 (reply in 117)","s3-eth1"
"117","0.114681917","10.0.0.8","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6499, seq=1/256, ttl=64 (request in 116)","s3-eth1"
"118","0.147240263","10.0.0.1","10.0.0.10","ICMP","98","Echo (ping) request  id=0x649b, seq=1/256, ttl=64 (reply in 119)","s3-eth1"
